#           k/h    P           
   0.348916E+01   0.738830E+02
   0.355964E+01   0.714151E+02
   0.363155E+01   0.690172E+02
   0.370491E+01   0.666877E+02
   0.377976E+01   0.644256E+02
   0.385611E+01   0.622293E+02
   0.393401E+01   0.600977E+02
   0.401348E+01   0.580293E+02
   0.409456E+01   0.560229E+02
   0.417727E+01   0.540771E+02
   0.426166E+01   0.521906E+02
   0.434775E+01   0.503621E+02
   0.443558E+01   0.485903E+02
   0.452519E+01   0.468739E+02
   0.461660E+01   0.452116E+02
   0.470987E+01   0.436020E+02
   0.480501E+01   0.420439E+02
   0.490208E+01   0.405360E+02
   0.500111E+01   0.390771E+02
   0.510214E+01   0.376657E+02
   0.520521E+01   0.363005E+02
   0.531036E+01   0.349801E+02
   0.541763E+01   0.337030E+02
   0.552708E+01   0.324681E+02
   0.563873E+01   0.312740E+02
   0.575264E+01   0.301194E+02
   0.586885E+01   0.290032E+02
   0.598741E+01   0.279242E+02
   0.610836E+01   0.268813E+02
   0.623176E+01   0.258734E+02
   0.635765E+01   0.248995E+02
   0.648609E+01   0.239588E+02
   0.661711E+01   0.230508E+02
   0.675079E+01   0.221747E+02
   0.688716E+01   0.213297E+02
   0.702629E+01   0.205152E+02
   0.716823E+01   0.197303E+02
   0.731304E+01   0.189744E+02
   0.746077E+01   0.182466E+02
   0.761149E+01   0.175462E+02
   0.776525E+01   0.168724E+02
