#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   137   0.380389E+04  -0.419242E+02   0.245565E-03  -0.419242E+02   0.111624E+01  -0.122956E-05   0.245565E-03  -0.122956E-05   0.810315E-07
   138   0.383893E+04  -0.422600E+02   0.243300E-03  -0.422600E+02   0.111742E+01  -0.122809E-05   0.243300E-03  -0.122809E-05   0.805529E-07
   139   0.387395E+04  -0.425771E+02   0.241072E-03  -0.425771E+02   0.111809E+01  -0.122509E-05   0.241072E-03  -0.122509E-05   0.800781E-07
   140   0.390895E+04  -0.428750E+02   0.238880E-03  -0.428750E+02   0.111827E+01  -0.122065E-05   0.238880E-03  -0.122065E-05   0.796071E-07
   141   0.394392E+04  -0.431532E+02   0.236722E-03  -0.431532E+02   0.111796E+01  -0.121487E-05   0.236722E-03  -0.121487E-05   0.791400E-07
   142   0.397885E+04  -0.434113E+02   0.234597E-03  -0.434113E+02   0.111716E+01  -0.120786E-05   0.234597E-03  -0.120786E-05   0.786766E-07
   143   0.401374E+04  -0.436489E+02   0.232504E-03  -0.436489E+02   0.111586E+01  -0.119971E-05   0.232504E-03  -0.119971E-05   0.782169E-07
   144   0.404856E+04  -0.438656E+02   0.230440E-03  -0.438656E+02   0.111408E+01  -0.119052E-05   0.230440E-03  -0.119052E-05   0.777610E-07
   145   0.408332E+04  -0.440609E+02   0.228405E-03  -0.440609E+02   0.111181E+01  -0.118040E-05   0.228405E-03  -0.118040E-05   0.773087E-07
   146   0.411799E+04  -0.442345E+02   0.226396E-03  -0.442345E+02   0.110907E+01  -0.116945E-05   0.226396E-03  -0.116945E-05   0.768601E-07
   147   0.415255E+04  -0.443858E+02   0.224413E-03  -0.443858E+02   0.110586E+01  -0.115777E-05   0.224413E-03  -0.115777E-05   0.764152E-07
   148   0.418700E+04  -0.445146E+02   0.222453E-03  -0.445146E+02   0.110218E+01  -0.114546E-05   0.222453E-03  -0.114546E-05   0.759738E-07
   149   0.422132E+04  -0.446203E+02   0.220516E-03  -0.446203E+02   0.109804E+01  -0.113262E-05   0.220516E-03  -0.113262E-05   0.755360E-07
   150   0.425549E+04  -0.447026E+02   0.218599E-03  -0.447026E+02   0.109345E+01  -0.111936E-05   0.218599E-03  -0.111936E-05   0.751017E-07
   151   0.428949E+04  -0.447610E+02   0.216702E-03  -0.447610E+02   0.108842E+01  -0.110575E-05   0.216702E-03  -0.110575E-05   0.746710E-07
   152   0.432333E+04  -0.447954E+02   0.214824E-03  -0.447954E+02   0.108295E+01  -0.109184E-05   0.214824E-03  -0.109184E-05   0.742438E-07
   153   0.435699E+04  -0.448054E+02   0.212966E-03  -0.448054E+02   0.107705E+01  -0.107765E-05   0.212966E-03  -0.107765E-05   0.738200E-07
   154   0.439047E+04  -0.447907E+02   0.211126E-03  -0.447907E+02   0.107075E+01  -0.106319E-05   0.211126E-03  -0.106319E-05   0.733997E-07
   155   0.442376E+04  -0.447511E+02   0.209305E-03  -0.447511E+02   0.106404E+01  -0.104849E-05   0.209305E-03  -0.104849E-05   0.729828E-07
   156   0.445687E+04  -0.446863E+02   0.207502E-03  -0.446863E+02   0.105695E+01  -0.103358E-05   0.207502E-03  -0.103358E-05   0.725693E-07
   157   0.448977E+04  -0.445960E+02   0.205718E-03  -0.445960E+02   0.104946E+01  -0.101846E-05   0.205718E-03  -0.101846E-05   0.721592E-07
   158   0.452248E+04  -0.444800E+02   0.203953E-03  -0.444800E+02   0.104163E+01  -0.100317E-05   0.203953E-03  -0.100317E-05   0.717525E-07
