#    L    TT             EE             BB             TE          
   345   0.181085E+01   0.131764E-01   0.704103E-02   0.678780E-01
   346   0.183112E+01   0.129558E-01   0.699257E-02   0.677976E-01
   347   0.185066E+01   0.127400E-01   0.694651E-02   0.676206E-01
   348   0.186940E+01   0.125296E-01   0.690291E-02   0.673462E-01
   349   0.188725E+01   0.123248E-01   0.686183E-02   0.669735E-01
   350   0.190410E+01   0.121260E-01   0.682331E-02   0.665019E-01
   351   0.191989E+01   0.119334E-01   0.678740E-02   0.659312E-01
   352   0.193462E+01   0.117472E-01   0.675404E-02   0.652644E-01
   353   0.194831E+01   0.115671E-01   0.672316E-02   0.645051E-01
   354   0.196095E+01   0.113932E-01   0.669469E-02   0.636569E-01
   355   0.197258E+01   0.112254E-01   0.666855E-02   0.627234E-01
   356   0.198319E+01   0.110637E-01   0.664467E-02   0.617083E-01
   357   0.199282E+01   0.109079E-01   0.662298E-02   0.606151E-01
   358   0.200146E+01   0.107581E-01   0.660340E-02   0.594476E-01
   359   0.200914E+01   0.106141E-01   0.658585E-02   0.582093E-01
   360   0.201586E+01   0.104759E-01   0.657027E-02   0.569038E-01
   361   0.202165E+01   0.103435E-01   0.655658E-02   0.555349E-01
   362   0.202652E+01   0.102168E-01   0.654470E-02   0.541060E-01
   363   0.203047E+01   0.100957E-01   0.653457E-02   0.526209E-01
   364   0.203353E+01   0.998024E-02   0.652611E-02   0.510832E-01
   365   0.203571E+01   0.987027E-02   0.651925E-02   0.494965E-01
   366   0.203701E+01   0.976577E-02   0.651390E-02   0.478643E-01
   367   0.203747E+01   0.966668E-02   0.651001E-02   0.461904E-01
   368   0.203708E+01   0.957293E-02   0.650749E-02   0.444784E-01
   369   0.203587E+01   0.948448E-02   0.650627E-02   0.427319E-01
   370   0.203384E+01   0.940126E-02   0.650628E-02   0.409545E-01
   371   0.203102E+01   0.932322E-02   0.650744E-02   0.391498E-01
   372   0.202741E+01   0.925030E-02   0.650968E-02   0.373215E-01
   373   0.202303E+01   0.918245E-02   0.651293E-02   0.354732E-01
   374   0.201789E+01   0.911959E-02   0.651711E-02   0.336085E-01
   375   0.201201E+01   0.906168E-02   0.652215E-02   0.317311E-01
   376   0.200541E+01   0.900866E-02   0.652798E-02   0.298445E-01
   377   0.199808E+01   0.896048E-02   0.653451E-02   0.279524E-01
   378   0.199006E+01   0.891706E-02   0.654169E-02   0.260585E-01
   379   0.198135E+01   0.887836E-02   0.654943E-02   0.241663E-01
   380   0.197196E+01   0.884432E-02   0.655766E-02   0.222795E-01
   381   0.196192E+01   0.881488E-02   0.656631E-02   0.204016E-01
   382   0.195123E+01   0.878998E-02   0.657530E-02   0.185364E-01
   383   0.193991E+01   0.876956E-02   0.658456E-02   0.166875E-01
   384   0.192797E+01   0.875358E-02   0.659402E-02   0.148584E-01
   385   0.191543E+01   0.874196E-02   0.660360E-02   0.130529E-01
   386   0.190230E+01   0.873465E-02   0.661323E-02   0.112745E-01
   387   0.188859E+01   0.873160E-02   0.662284E-02   0.952678E-02
   388   0.187432E+01   0.873274E-02   0.663234E-02   0.781348E-02
   389   0.185951E+01   0.873802E-02   0.664168E-02   0.613819E-02
   390   0.184416E+01   0.874739E-02   0.665077E-02   0.450453E-02
   391   0.182829E+01   0.876077E-02   0.665953E-02   0.291613E-02
