#    L    TT             EE             BB             TE          
   220   0.839377E+04   0.692323E+01   0.310256E+02   0.490463E+02
   221   0.838336E+04   0.695394E+01   0.311928E+02   0.490931E+02
   222   0.837298E+04   0.698458E+01   0.313599E+02   0.491397E+02
   223   0.836264E+04   0.701514E+01   0.315269E+02   0.491861E+02
   224   0.835234E+04   0.704562E+01   0.316937E+02   0.492323E+02
   225   0.834207E+04   0.707603E+01   0.318604E+02   0.492783E+02
   226   0.833183E+04   0.710636E+01   0.320269E+02   0.493241E+02
   227   0.832163E+04   0.713661E+01   0.321934E+02   0.493697E+02
   228   0.831146E+04   0.716679E+01   0.323596E+02   0.494152E+02
   229   0.830132E+04   0.719689E+01   0.325258E+02   0.494604E+02
   230   0.829122E+04   0.722691E+01   0.326918E+02   0.495056E+02
   231   0.828115E+04   0.725686E+01   0.328577E+02   0.495505E+02
   232   0.827111E+04   0.728673E+01   0.330234E+02   0.495953E+02
   233   0.826110E+04   0.731653E+01   0.331890E+02   0.496400E+02
   234   0.825113E+04   0.734625E+01   0.333545E+02   0.496846E+02
   235   0.824118E+04   0.737589E+01   0.335199E+02   0.497290E+02
   236   0.823127E+04   0.740546E+01   0.336851E+02   0.497733E+02
   237   0.822139E+04   0.743495E+01   0.338502E+02   0.498175E+02
   238   0.821153E+04   0.746437E+01   0.340151E+02   0.498616E+02
   239   0.820171E+04   0.749371E+01   0.341799E+02   0.499056E+02
   240   0.819191E+04   0.752297E+01   0.343446E+02   0.499495E+02
   241   0.818215E+04   0.755216E+01   0.345092E+02   0.499933E+02
   242   0.817241E+04   0.758128E+01   0.346736E+02   0.500370E+02
   243   0.816270E+04   0.761032E+01   0.348379E+02   0.500807E+02
   244   0.815302E+04   0.763928E+01   0.350020E+02   0.501243E+02
   245   0.814336E+04   0.766817E+01   0.351661E+02   0.501679E+02
   246   0.813374E+04   0.769699E+01   0.353300E+02   0.502114E+02
   247   0.812414E+04   0.772573E+01   0.354937E+02   0.502549E+02
   248   0.811456E+04   0.775439E+01   0.356574E+02   0.502983E+02
   249   0.810501E+04   0.778299E+01   0.358209E+02   0.503417E+02
   250   0.809549E+04   0.781150E+01   0.359842E+02   0.503851E+02
   251   0.808599E+04   0.783995E+01   0.361475E+02   0.504285E+02
   252   0.807652E+04   0.786831E+01   0.363106E+02   0.504718E+02
   253   0.806707E+04   0.789661E+01   0.364736E+02   0.505152E+02
