#    L    TT             EE             BB             TE          
   375   0.260504E+04   0.208621E+02   0.471321E-01  -0.124417E+03
   376   0.262233E+04   0.209357E+02   0.472622E-01  -0.126482E+03
   377   0.263987E+04   0.210058E+02   0.473934E-01  -0.128529E+03
   378   0.265763E+04   0.210721E+02   0.475256E-01  -0.130557E+03
   379   0.267562E+04   0.211348E+02   0.476587E-01  -0.132566E+03
   380   0.269381E+04   0.211937E+02   0.477927E-01  -0.134554E+03
   381   0.271220E+04   0.212488E+02   0.479275E-01  -0.136521E+03
   382   0.273079E+04   0.213000E+02   0.480630E-01  -0.138467E+03
   383   0.274954E+04   0.213475E+02   0.481993E-01  -0.140389E+03
   384   0.276847E+04   0.213911E+02   0.483362E-01  -0.142288E+03
   385   0.278753E+04   0.214308E+02   0.484737E-01  -0.144162E+03
   386   0.280675E+04   0.214667E+02   0.486117E-01  -0.146011E+03
   387   0.282610E+04   0.214987E+02   0.487503E-01  -0.147834E+03
   388   0.284556E+04   0.215269E+02   0.488892E-01  -0.149629E+03
   389   0.286512E+04   0.215512E+02   0.490286E-01  -0.151396E+03
   390   0.288478E+04   0.215717E+02   0.491682E-01  -0.153134E+03
