#    L    TT             EE             BB             TE          
   334   0.219028E+04   0.153771E+02   0.771674E-02  -0.335131E+02
   335   0.219041E+04   0.155559E+02   0.764559E-02  -0.356469E+02
   336   0.219111E+04   0.157335E+02   0.757623E-02  -0.377977E+02
   337   0.219239E+04   0.159098E+02   0.750870E-02  -0.399635E+02
   338   0.219423E+04   0.160848E+02   0.744306E-02  -0.421445E+02
   339   0.219664E+04   0.162584E+02   0.737937E-02  -0.443388E+02
   340   0.219961E+04   0.164306E+02   0.731769E-02  -0.465457E+02
   341   0.220313E+04   0.166011E+02   0.725806E-02  -0.487648E+02
   342   0.220718E+04   0.167701E+02   0.720056E-02  -0.509955E+02
   343   0.221176E+04   0.169373E+02   0.714523E-02  -0.532358E+02
   344   0.221685E+04   0.171026E+02   0.709214E-02  -0.554860E+02
   345   0.222245E+04   0.172662E+02   0.704133E-02  -0.577446E+02
   346   0.222856E+04   0.174277E+02   0.699287E-02  -0.600113E+02
   347   0.223514E+04   0.175872E+02   0.694681E-02  -0.622848E+02
   348   0.224220E+04   0.177445E+02   0.690321E-02  -0.645644E+02
   349   0.224974E+04   0.178997E+02   0.686212E-02  -0.668475E+02
   350   0.225775E+04   0.180527E+02   0.682360E-02  -0.691343E+02
   351   0.226621E+04   0.182035E+02   0.678769E-02  -0.714228E+02
   352   0.227514E+04   0.183520E+02   0.675433E-02  -0.737122E+02
   353   0.228451E+04   0.184981E+02   0.672345E-02  -0.760023E+02
   354   0.229432E+04   0.186418E+02   0.669498E-02  -0.782910E+02
   355   0.230458E+04   0.187830E+02   0.666884E-02  -0.805788E+02
   356   0.231527E+04   0.189217E+02   0.664496E-02  -0.828651E+02
   357   0.232638E+04   0.190578E+02   0.662326E-02  -0.851489E+02
   358   0.233792E+04   0.191913E+02   0.660368E-02  -0.874296E+02
   359   0.234985E+04   0.193219E+02   0.658613E-02  -0.897069E+02
   360   0.236219E+04   0.194497E+02   0.657055E-02  -0.919795E+02
   361   0.237492E+04   0.195746E+02   0.655686E-02  -0.942483E+02
   362   0.238803E+04   0.196966E+02   0.654498E-02  -0.965113E+02
   363   0.240152E+04   0.198155E+02   0.653485E-02  -0.987679E+02
   364   0.241537E+04   0.199313E+02   0.652639E-02  -0.101017E+03
   365   0.242959E+04   0.200441E+02   0.651952E-02  -0.103259E+03
   366   0.244416E+04   0.201537E+02   0.651418E-02  -0.105492E+03
   367   0.245908E+04   0.202600E+02   0.651028E-02  -0.107715E+03
   368   0.247433E+04   0.203631E+02   0.650776E-02  -0.109927E+03
   369   0.248990E+04   0.204629E+02   0.650654E-02  -0.112128E+03
   370   0.250580E+04   0.205593E+02   0.650655E-02  -0.114317E+03
   371   0.252200E+04   0.206524E+02   0.650772E-02  -0.116494E+03
   372   0.253851E+04   0.207419E+02   0.650996E-02  -0.118656E+03
   373   0.255529E+04   0.208280E+02   0.651321E-02  -0.120804E+03
   374   0.257236E+04   0.209106E+02   0.651739E-02  -0.122936E+03
   375   0.258969E+04   0.209897E+02   0.652243E-02  -0.125052E+03
   376   0.260728E+04   0.210651E+02   0.652826E-02  -0.127151E+03
   377   0.262512E+04   0.211369E+02   0.653480E-02  -0.129232E+03
   378   0.264319E+04   0.212050E+02   0.654197E-02  -0.131295E+03
   379   0.266149E+04   0.212693E+02   0.654972E-02  -0.133338E+03
   380   0.268001E+04   0.213298E+02   0.655795E-02  -0.135361E+03
   381   0.269873E+04   0.213866E+02   0.656660E-02  -0.137362E+03
   382   0.271765E+04   0.214393E+02   0.657559E-02  -0.139342E+03
   383   0.273675E+04   0.214882E+02   0.658485E-02  -0.141299E+03
   384   0.275601E+04   0.215332E+02   0.659431E-02  -0.143233E+03
   385   0.277544E+04   0.215743E+02   0.660389E-02  -0.145142E+03
   386   0.279501E+04   0.216115E+02   0.661352E-02  -0.147025E+03
   387   0.281472E+04   0.216448E+02   0.662313E-02  -0.148882E+03
   388   0.283454E+04   0.216742E+02   0.663264E-02  -0.150712E+03
   389   0.285447E+04   0.216997E+02   0.664197E-02  -0.152513E+03
   390   0.287450E+04   0.217212E+02   0.665106E-02  -0.154286E+03
